gender,age,S1,S2,S3,S4,S5,S6,EX,NR,OP,AG,CN
1,38,0.7012351751327515,0.48563438653945923,0.34190160036087036,0.24235638976097107,0.4572528600692749,0.555695652961731,3.7,1.7,5.0,4.1,2.5
2,18,0.1888297200202942,0.8729269504547119,0.727169394493103,0.6510007381439209,0.6160944700241089,0.79573655128479,1.9,2.3,3.1,3.3,3.6
2,21,0.4616488218307495,0.6024202108383179,0.3294970393180847,0.4334612488746643,0.34851205348968506,0.8056906461715698,3.4,2.4,2.8,4.1,3.0
2,41,0.529860258102417,0.8299875855445862,0.43419378995895386,0.5796377658843994,0.7165653705596924,0.46390798687934875,4.6,1.5,4.2,5.0,4.6
2,24,0.3228655159473419,0.8409302234649658,0.52851802110672,0.5946055054664612,0.32843589782714844,0.3123040795326233,4.8,4.0,4.9,4.7,4.3
2,28,0.7157578468322754,0.5176032781600952,0.45199230313301086,0.49492722749710083,0.4319533109664917,0.3932790756225586,4.2,2.9,3.9,4.0,3.2
2,26,0.41538137197494507,0.43530112504959106,0.5257585644721985,0.5043014287948608,0.5990639925003052,0.46765798330307007,2.3,2.4,2.7,2.6,3.2
1,47,0.7166768312454224,0.4862714409828186,0.31334155797958374,0.30707865953445435,0.5874683856964111,0.5541830062866211,3.6,2.9,4.5,4.2,3.8
2,41,0.7179238796234131,0.6554205417633057,0.542993426322937,0.5181577801704407,0.6284475922584534,0.43229377269744873,2.0,3.3,3.5,4.7,3.3
1,58,0.6915572285652161,0.9043281674385071,0.5257585644721985,0.4925863742828369,0.6050462126731873,0.5716918110847473,3.1,1.8,3.3,3.7,2.7
2,19,0.7277297973632812,0.5566685199737549,0.3650802969932556,0.4090060591697693,0.5466823577880859,0.4964727759361267,3.2,3.8,3.3,4.1,3.8
2,36,0.3820860981941223,0.49153026938438416,0.5257585644721985,0.4925863742828369,0.5279699563980103,0.3247216045856476,3.4,3.7,5.0,4.6,4.3
1,25,0.23138505220413208,0.7492981553077698,0.5193326473236084,0.5786964297294617,0.686616837978363,0.5323218107223511,3.4,3.4,4.4,4.1,3.2
1,50,0.711630642414093,0.644001305103302,0.7470130324363708,0.4928361177444458,0.4378676414489746,0.4031051993370056,3.0,3.4,4.5,4.3,3.8
2,21,0.4377247095108032,0.45604562759399414,0.5426891446113586,0.5677285194396973,0.5279699563980103,0.79573655128479,3.7,3.1,4.6,5.0,3.2
1,19,0.41280698776245117,0.5952797532081604,0.32173803448677063,0.4908407926559448,0.6433243155479431,0.4972493350505829,3.2,2.0,3.7,3.5,3.3
1,21,0.36589717864990234,0.5250058174133301,0.3799915015697479,0.46429333090782166,0.5456581115722656,0.5871371626853943,3.5,3.0,4.3,3.1,2.3
1,22,0.5706260204315186,0.712457537651062,0.3674551844596863,0.47142744064331055,0.550613522529602,0.7539678812026978,3.0,4.9,4.9,2.9,3.9
